ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Светозаров Балабанов, Стоян Сашов Кръстанов, Борис Янков Ячев, Чавдар Демиров Борачев, Михаил Янков Мутафчиев, Стефан Иванов Методиев, Румен Василев Стоянов, Атанас Илиев Кръстев, Николай Костадинов Найденов, Петър Евтимов Евтимов, Кръстьо Стоянов Врачев, Красимир Димчев Дончев, Богдан Валериев Богданов, Атанас Георгиев Танев, Димитър Ангелов Чолаков, Стефан Христев Шипкалиев, Венелина Венкова Балтаджиева, Александър Андреев Андреев, Михаил Емилов Груев, Гънчо Койчев Гънчев, Цвета Вълчева Караянчева, Георги Христов Бонев, Веска Маринова Ненчева, Дарин Димитров Георгиев, Никола Георгиев Ликов, Атанас Василев Василев, Рамадан Байрам Аталай, Мая Христова Христозова, Рада Семкова Марова, Вилина Димитрова Дишева, Марко Христев Петров
Боян Илиев Чалъков, , Манол Иванов Чакъров, , , Николай Кунев Колев, Атанас Йорданов Петков, Георги Борисов Топузов, Христо Георгиев Стоянов, , , Стефка Николова Николова, Никола Димитров Мандев, , Христо Николов Христов, , , , , , Асен Стоянов Витанов, , , , Стефан Йорданов Послийски, , Надя Стефанова Манолова, , , , Вълю Раев Илиев
Захари Михайлов Захариев, , Тодор Иванов Танковски, , , , Жанко Димитров Бояджиев, Петър Василев Гидженов, , , , , Христо Николаев Близнаков, , , , , , , , Ваня Ангелова Лазарова, , , , , , Сибел Юксел Рамаданова, , , , Христо Димитров Шишков
Кирил Стоянов Дешев, , Димитрийка Петкова Лалова, , , , Ивайло Дончев Денев, Детелин Весков Кънчев, , , , , Петър Жечев Радевски, , , , , , , , Петър Димитров Матрев, , , , , , Сабри Халилов Кърмаджиев, , , , 
, , Емануил Йорданов Запрянов, , , , Добромир Павлев Иванов, Иван Красимиров Попов, , , , , Димитър Иванов Въчков, , , , , , , , Ивайло Стефанов Сираков, , , , , , Суат Бирол Али, , , , 
, , Георги Фотев Белев, , , , Руска Иванова Киришева, Николай Стефанов Андонов, , , , , Цветелина Иванова Атанасова, , , , , , , , Иван Дончев Мусеров, , , , , , Онур Фетхи Мурад, , , , 
, , , , , , Емил Тодоров Цветков, , , , , , Йордан Антонов Джамбазов, , , , , , , , Нели Маринова Минчева, , , , , , Джанер Иляз Яхачауш, , , , 
, , , , , , Спас Стоянов Абрашев, , , , , , Евелин Николов Ангелов, , , , , , , , Пантелей Атанасов Тодоров, , , , , , Атанас Иванов Василев, , , , 
, , , , , , , , , , , , Владимир Бонов Славенски, , , , , , , , Румяна Димитрова Апостолова, , , , , , Ахмед Адемов Ислямов, , , , 
, , , , , , , , , , , , , , , , , , , , Кристиан Владимиров Йосифов, , , , , , Берна Мехмед Смаил, , , , 
, , , , , , , , , , , , , , , , , , , , Генчо Добрев Кинаров, , , , , , Бирджан Ерджан Алимолла, , , , 
, , , , , , , , , , , , , , , , , , , , Енислав Стоянов Велков, , , , , , Кемал Мустафов Тинев, , , , 
