ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Ивайло Ванев Вълчев, Тодор Станимиров Сотиров, Милен Димитров Георгиев, Нако Райнов Стефанов, Георги Захаринин Попов, Димитър Александров Митев, Пламен Атанасов Русев, Иван Кирилов Кирилов, Николай Петев Кючуков, Миню Стайков Стайков, Цончо Томов Ганев, Венцислав Иванов Петков, Николай Денков Денков, Поля Славчева Славова-Атанасова, Стоян Демирев Грозев, Емил Стоянов Великов, Димитър Михайлов Ташев, Румен Йорданов Петков, Евгения Пламенова Гергова, Станислав Димитров Готев, Жечо Дончев Станков, Даниел Койчев Стамов, Петър Георгиев Кънев, Радостин Колев Колев, Александър Маиров Сиди, Красимир Манолов Стоянов, Севим Исмаил Али, Даниела Стоянова Божинова, Йорданка Лазаринова Симеонова, Александър Киров Бояджийски, Николай Симеонов Малинов
Евгений Митков Генчев, , Севдалина Николова Пенева, , , Калина Богданова Томова, Деян Славейков Митровски, Пламен Иванов Николов, Георги Жеков Димов, , Атанас Димитров Аврамов, , Мирослава Петрова Петрова, , Димитър-Диман Панайотов Панчев, Пламен Диянов Димов, , Мехмед Мустафа Мехмед, , Снежана Веселинова Найденова, Светлана Тодорова Чакърова, Владимир Драгомиров Савов, Румен Христов Николов, , Елена Георгиева Ставрева, , Неджми Адем Джелил, Филип Мартинов Павлов, , , Станьо Георгиев Стоев
Тодор Димитров Дойчев, , Добринка Градоева Французова, , , Петя Ивайлова Стоянова, , Елеонора Иванова Кирякова-Узунова, , , Драгомир Дончев Дончев, , Филип Димитров Шавов, , Ренета Мартинова Вефа, Жана Антонова Илиева, , Недка Стоянова Абрашева, , Кирил Алексиев Кирилов, Валентин Георгиев Ганчев, Валентин Христов Коцаков, Кирил Рафаилов Елевтеров, , Вера Валериева Георгиева, , Бехчет Ремзиев Емурлов, , , , Васил Йорданов Ангелов
Красимир Георгиев Стоянов, , Диана Славчева Фъртунова, , , Христо Руменов Станев, , Светлозара Каменова Богдева, , , Димитър Илиев Мавродиев, , Яни Димитров Георгиев, , Пламен Георгиев Георгиев, Райна Димитрова Николова, , Радостина Стайкова Каишева, , Деян Йотов Стоев, Марин Стоянов Комитов, Петър Стоянов Дамянов, Аспарух Данчев Иванов, , Павел Павлов Андреев, , Юмер Хасан Ибрам, , , , Станимир Недялков Станков
Златина Петкова Забирова, , Иван Живков Драголов, , , , , Анна Александрова Илиева, , , Щелиян Георгиев Димитров, , Захари Диянов Тенев, , Александр Георгиевич Станков, Васил Георгиев Василев, , Биляна Евгениева Байчева, , , Андон Атанасов Михайлов, , Георги Демирев Маринов, , Цветанка Славянова Костадинова, , Севди Севим Емин, , , , Митко Алексиев Митев
Венцислав Георгиев Велков, , Даниела Панайотова Радева, , , , , Снежанка Райчова Георгиева, , , Мария Валентинова Вълкова, , Венета Андонова Христова, , Марийка Атанасова Христова, Илиян Красимиров Мавров, , Стоян Костов Стоянов, , , Чани Димов Стойчев, , Атанас Маринов Маринов, , Христо Петков Димитров, , Сезер Севгин Шабан, , , , 
Цветомир Динков Тачев, , Станислав Златев Баръмов, , , , , Тодор Неделчев Тодоров, , , Радостин Янков Желязков, , Николай Желязков Георгиев, , Александър Димитров Станчев, Веселина Ботева Василева, , Деница Добрева Стирянова, , , Георги Николов Вдовичин, , Живко Михов Бараков, , Димитър Валентинов Станев, , Хасан Абдурахим Хасан, , , , 
Росен Николов Костов, , Мариана Борисова Димитрова, , , , , Стоян Маринов Алексиев, , , , , Иво Георгиев Михайлов, , Димитър Стоянов Калоянов, Красина Николаева Иванова, , Боян Добрев Иванов, , , Георги Насков Гунев, , Светлана Танева Василева, , Иван Тодоров Николов, , Турхан Юсеин Юсеин, , , , 
Цветомир Гинков Вълков, , Йордан Божилов Георгиев, , , , , , , , , , Иван Георгиев Иванов, , Стела Петкова Петкова, Милена Василева Журова, , Марияна Иванова Димитрова, , , Тодор Димчев Станков, , Ибрахим Шукри Мустафа, , Красимира Якимова Георгиева, , Андрей Радославов Генчев, , , , 
Тома Енчев Николов, , Красимира Василева Ятакчиева, , , , , , , , , , Николай Емилов Христов, , Пламен Вълев Пенев, Екатерина Николова Чаушева, , Ива Динкова Тамахкярова, , , Станислав Райков Андреев, , Тинка Асенова Желязкова, , Калина Михова Манева, , Мурат Салиев Неджибов, , , , 
Никола Иванов Янакиев, , , , , , , , , , , , Милена Неделчева Димитрова, , Николай Манолов Стоянов, Пламена Стоянова Георгиева, , Гергана Красимирова Кметска, , , Марина Велкова Димитрова, , Дора Василева Петкова, , Милчо Димитров Марков, , Вергин Байрямов Терзиев, , , , 
Павлина Станчева Илиева, , , , , , , , , , , , Камелия Кирова Славейкова, , Валя Тодорова Георгиева, Павлина Стоянова Райкова, , Ваня Георгиева Имперова, , , Стефана Любенова Караджова, , Милка Димитрова Димитрова-Донева, , Николай Георгиев Стоянов, , Мехмед Сюлейман Мустафа, , , , 
Милен Методиев Левендов, , , , , , , , , , , , Божидар Пламенов Божанов, , Мартин Стефанов Митев, Петър Димитров Иванов, , Яни Бойчев Бойчев, , , Продан Пеев Димитров, , Георги Желязков Бъклев, , , , Никола Тодоров Мешков, , , , 
, , , , , , , , , , , , , , Радка Митева Георгиева, Дочка Сонева Пехливанова, , , , , Ивелин Василев Ефендиев, , Павел Златков Стоянов, , , , Дениз Ремзи Хайрула, , , , 
, , , , , , , , , , , , , , Любомир Георгиев Ламбрев, Сабрина Антонова Маринова, , , , , Панайот Киров Панайотов, , Живко Павлов Господинов, , , , Шерафет Асан Мехмед, , , , 
, , , , , , , , , , , , , , Биляна Михайлова Михова, Ирена Здравкова Апостолова, , , , , Димитър Панайотов Янчев, , , , , , Христо Димитров Ангелов, , , , 
, , , , , , , , , , , , , , Кристиян Росенов Косев, , , , , , Тодор Михайлов Михалев, , , , , , Шабанали Мустафа Шабанали, , , , 
, , , , , , , , , , , , , , Георги Николов Кузманов, , , , , , Ангел Димитров Петков, , , , , , Мехмед Хасан Хамид, , , , 
