ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Тошко Йорданов Хаджитодоров, Веселин Асенов Белоконски, Наско Христов Рафаилов, Светозар Стоянов Съев, Диян Галинов Асенов, Сергей Петков Инджов, Деян Димитров Господинов, Димитър Симеонов Костадинов, Илия Костадинов Костадинов, Александър Иванов Атанасов, Костадин Тодоров Костадинов, Николай Стефанов Радулов, Даниел Максим Лорер, Дарина Недева Тодорова, Диан Иванчев Драганов, Младен Йорданов Станев, Бояна Миленова Йорданова, Иван Димов Иванов, Димитър Генчев Димитров, Арман Агоп Бабикян, Даниел Павлов Митов, Наум Асенов Наумов, Борислав Гуцанов Гуцанов, Юлиана Младенова Матеева, Андрей Петров Слабаков, Иван Димитров Казаков, Филиз Хакъева Хюсменова, Илиян Иванов Илиев, Андрей Александрович Ваховски, Деян Сашев Александров, Николай Илиев Петков
Антон Стоянов Янев, , Миглена Красимирова Минчева, , , , Пламен Георгиев Ангелов, Росен Георгиев Георгиев, , , Георги Иванов Георгиев, , Антон Стаменов Тончев, , Силвия Станчева Железова, , , Михаил Иванов Иванов, , , Бранимир Георгиев Георгиев, Детелин Миронов Кюркчиев, Димитър Валентинов Янев, Илиян Александров Атанасов, Албена Димитрова Коцева, , Шефкет Муталиб Шевкет, , , , 
Мартина Диянова Николова, , Мая Иванова Палиева, , , , Виктория Христова Грозева, Георги Величков Станчев, , , Радослав Петков Петков, , Адриан Светлозаров Кабаев, , Ваня Чернева Димитрова, , , Красимир Христов Манолов, , , Йорданка Иванова Проданова, Ивайло Огнянов Лазаров, Николай Николаев Добрев, Калин Миленов Михайлов, Димитър Борисов Даскалов, , Васил Георгиев Алексиев, , , , 
Иван Тодоров Иванов, , Веселин Иванов Василев, , , , Георги Трифонов Манавски, Магдалена Илиева Габерска, , , Никола Иванов Македонски, , Николай Тодоров Желязков, , Стайко Василев Стайков, , , Ивайло Петров Кирилов, , , Христо Недков Стоянов, Валентин Христов Коцаков, Христо Веселинов Василев, Ивайло Иванов Мянков, Мартин Любенов Игнатов, , Столе Зафироски, , , , 
Милен Ивалинов Стаматов, , , , , , Тоника Колева Колева, Васил Савов Стефанов, , , Дилян Руменов Григоров, , Иван Илиев Дончев, , Невена Петрова Петрова, , , Васил Добромиров Василев, , , Ирина Тодорова Делчева, Петър Стоянов Дамянов, Звезделина Илиянова Илиева, Драган Георгиев Георгиев, Илиан Иванов Иванов, , Халил Рахим Халил, , , , 
Християн Атанасов Христов, , , , , , Стоян Веселинов Александров, Албена Георгиева Вълчева, , , Кирил Петев Шипочки, , Цветан Страхилов Диловски, , Йордан Цветков Цветков, , , Валентина Иванова Динкова, , , Антония Йовчева Пенева, , Ана Кънчева Костадинова, Иванка Дамянова Иванова, Самуил Маринов Маринов, , Светослав Байчев Баев, , , , 
Александрина Николаева Димитрова, , , , , , Веселин Ростиславов Рачев, Галина Веселинова Савова, , , Свилен Костов Радев, , Тодор Николаев Костадинов, , Станчо Николов Овчаров, , , Анатоли Недев Боранов, , , Юлияна Атанасова Боева, , Славчо Емилов Топалов, Ралица Николаева Петрова, Никита Димитров Коларов, , Евгин Мюрселов Незиров, , , , 
Добрин Красимиров Костадинов, , , , , , Даринка Христова Господинова, Мина Теодорова Иванова, , , Ивайло Илиев Иванов, , Мария Иванова Ангелова-Дойчева, , Милен Дойчев Маринов, , , Анна Георгиева Христова, , , Константин Петров Костадинов, , Валерий Любенов Черналиев, , Моника Димитрова Петрова, , Ахмед Сали Ахмед, , , , 
Валентин Тодоров Веков, , , , , , Алим Таиров Алимов, Антон Димитров Чавеев, , , Валери Христов Велинов, , Даниел Димитров Керемидчиев, , Константин Ангелов Митев, , , Иван Тодоров Василев, , , Николай Стоянов Малев, , Радосвета Стоянова Андреева-Борисова, , Николай Христов Динков, , Мехмед Хасанов Хасанов, , , , 
Добромир Иванов Дунчев, , , , , , Вася Иванова Рачева, Боянка Борисова Петрова, , , Павлин Младенов Пенев, , Богомил Петров Петров, , Кристиян Янков Николов, , , Маргарита Дякова Дякова, , , Красимир Маргаритов Кръстев, , Милен Василев Събев, , Звезделина Борисова Щерева, , Силвия Александрова Михайлова, , , , 
Валентин Димитров Петров, , , , , , Моника Атанасова Николова, Шенол Рушан Исмаил, , , Ваня Пламенова Иванова, , Ламбрин Димчев Сотиров, , , , , Здравко Каменов Йоцов, , , Атанас Златков Иванов, , Габриела Владкова Цветкова, , Николай Ванев Венков, , Айдън Мустафа Байрам, , , , 
