ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Тошко Йорданов Хаджитодоров, Михаил Боянов Генадиев, Владимир Николов Караджов, Катина Никос Анастасова, Георги Захаринин Попов, Александър Цветанов Гарибов, Павел Славчов Стоименов, Албина Алексеева Анева-Томова, Румяна Станоева Първанова, Владимир Николов Живков, Цвета Валентинова Рангелова, Кирил Атанасов Веселински, Андрей Иванов Цеков, Танка Младенова Попова, Даниела Станимирова Дашева, Иван Стоименов Гешев, Димитър Михайлов Ташев, Христо Петьов Колев, Николай Емилов Груев, Любомир Иванов Стойков, Росен Димитров Желязков, Йордан Стоянов Манасиев, Корнелия Петрова Нинова, Георги Панчев Куков, Красимир Дончев Каракачанов, Кирил Спасов Ваклинов, Делян Славчев Пеевски, Александър Димитров Дунчев, Владимир Йорданов Милков, Ангел Методиев Тасев, Пирин Асенов Несторов
Георги Иванов Петров, , Димитър Михайлов Бегинов, , , , Иван Костадинов Тупаров, Мустафа Мехмед Кьос, , , Атанас Пламенов Карамангалов, , Мартин Людмилов Петров, , , , , , , , Андрей Емилов Миладинов, , Георги Андонов Серафимов, , Николай Цачев Цачев, , Иман Ивова Вакльова, , , , 
Симеон Георгиев Шайков, , Милена Любомирова Ангова, , , , Мариела Асенова Мазнева, Илияна Милчева Моравченска, , , Величка Людмилова Борикова, , Иво Кирилов Иванов, , , , , , , , Славчо Костадинов Месов, , Гюлзет Ресимов Фърговски, , Борис Вангелов Борисов, , Мелиха Рифат Акбулут, , , , 
Лилия Николаева Чакърова, , Грозданка Пламенова Спасова, , , , Антон Симеонов Костадинов, Марян Иванов Биков, , , , , Крум Добринов Стоилов, , , , , , , , Красимир Здравков Керезов, , Христо Антонов Шомов, , Христо Ставров Филатов, , Росица Бисерова Медарова, , , , 
, , Милена Стоянова Смилянова, , , , Мариана Костадинова Спасова, Евгения Кирилова Костова-Байова, , , , , Атанаска Янкова Ковачева, , , , , , , , Иван Христов Талев, , Димитър Руменов Савов, , , , Айше Мустафова Мазгалджиева, , , , 
, , Кристиян Димитров Дончев, , , , Илиана Николаева Илиева, Антон Георгиев Манчев, , , , , Венко Николов Сабрутев, , , , , , , , Владимир Иванов Кючуков, , Александър Петров Палапуов, , , , Асим Илхан Чауш, , , , 
, , , , , , Владимир Иванов Тодоров, Кирил Венциславов Атанасов, , , , , Георги Туфчов Сандъкчиев, , , , , , , , Мариела Георгиева Весалова, , Костадин Михайлов Юнчов, , , , Стойчо Маринов Ризов, , , , 
, , , , , , Стефана Кирилова Костова, , , , , , Николай Михайлов Куколев, , , , , , , , Татяна Стефанова Рибарска, , , , , , Яхя Мустафа Сантур, , , , 
, , , , , , Ивайло Василев Юруков, , , , , , Методи Трайков Бисерков, , , , , , , , Тони Иванова Чаушева, , , , , , Суат Хасан Кунгьова, , , , 
, , , , , , Мария Николова Калайджиева, , , , , , Дейвид Владимир Давидков, , , , , , , , Кирил Цветанов Илиев, , , , , , Кадрие Салиева Джамбазска, , , , 
, , , , , , Стоян Иванов Иванов, , , , , , Росица Василева Пандова-Йовкова, , , , , , , , Хюсеин Мехмед Хюсеин, , , , , , Симеон Филипов Ангелов, , , , 
, , , , , , Дамян Иванов Качулски, , , , , , Марио Красимиров Граченов, , , , , , , , Стефан Апостолов Апостолов, , , , , , , , , , 
