ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Александър Николов Вълчев, Маринела Боянова Маргаритова, Борислава Пламенова Пенева, Пламен Панайотов Пасков, Иван Борисов Грозданов, Гарабед Ардашес Минасян, Боянка Колева Янкова, Щерьо Атанасов Щерев, Яни Иванов Андреев, Христо Генчев Георгиев, Искра Михайлова Михайлова, Красимир Цветков Манов, Радослав Стефанов Рибарски, Иван Александров Иванов, Красимир Христов Янков, Димитър Милков Ламбовски, Георги Петров Мъндев, Цветеслава Иванова Гълъбова, Анна Георгиева Кирилова, Николай Ангелов Николов, Красимир Георгиев Вълчев, Денис Стратиев Генев, Драгомир Велков Стойнев, Красимира Петкова Нинова-Катинчарова, Красимир Симеонов Червилов, Маргарит Йорданов Карабуров, Халил Реджепов Летифов, Петко Костадинов Ковачев, Венко Янчев Динев, Деян Сашев Александров, Атанас Ралчев Панчев
Георги Петров Дачев, , , , , , Светлозар Орлинов Христов, , , , Максим Колев Дренчев, , Станислав Енчев Бойчев, , , , , Панайот Динев Донев, , , Пламен Георгиев Георгиев, , Милена Златева Данкова, , Константин Илчев Делчев, , Васил Тодоров Василев, , , , Румен Георгиев Стамов
Николай Ангелов Миков, , , , , , Иван Тодоров Иванов, , , , Стилян Христов Христов, , Магдалена Владимирова Овчарова, , , , , Красимир Цанев Цанев, , , Светозар Тодоров Ялъмов, , Владимир Любомиров Грамовски, , Николай Георгиев Киров, , Венелина Стефанова Маджарова-Саид, , , , Юлиана Веселинова Матеева
Станимир Колев Иванов, , , , , , Октай Орхан Сали, , , , Милка Матева Костадинова, , Стоянка Найденова Андреева, , , , , , , , Ваня Златкова Петрова, , Радослав Георгиев Георгиев, , Илиан Иванов Иванов, , Неделчо Радославов Миланов, , , , 
Силвия Тодорова Александрова-Георгиева, , , , , , Теодор-Джулиън Георгиев Атанасов, , , , Диана Георгиева Кирилова, , Пламен Мартинов Бойчев, , , , , , , , Пламен Костов Костов, , Мая Лефтерова Славова, , Манол Димитров Желев, , Есмерай Руфкиева Байрямова, , , , 
Станислав Димов Танев, , , , , , Янко Стайков Янков, , , , Станимир Георгиев Стойчев, , Стефан Петров Стайков, , , , , , , , Иванка Колева Михайлова, , Стефан Генчев Стойчев, , Николай Желязков Монев, , Айгюн Радванов Хаджиисмаилов, , , , 
Стамен Иванов Ведричков, , , , , , Фатме Саитова Тинева, , , , Венелин Петров Славчев, , Станислав Сашков Петков, , , , , , , , Ростислав Здравков Попов, , Драго Янков Коев, , , , Силвия Иванова Иванова, , , , 
Дончо Бончев Йорданов, , , , , , Станимира Нейчева Грозева-Георгиева, , , , Петър Иванов Динев, , Теньо Димов Арабаджиев, , , , , , , , Тихомир Грудев Динев, , Димитър Ганчев Димитров, , , , Емилиян Цонев Тотев, , , , 
Иванка Иванова Милева, , , , , , Станислав Пламенов Иванов, , , , Богдана Рускова Тонева, , Надежда Петрова Христова, , , , , , , , Рая Димитрова Драчева, , Мария Тодорова Танева, , , , Юлия Емилова Кехайова, , , , 
Ивелина Павлова Стоянова, , , , , , Димитър Минев Алексиев, , , , Георги Пламенов Узунов, , Силяна Юриева Божилова, , , , , , , , Николай Иванов Николов, , Марийка Митева Илиева, , , , Ростислав Руменов Лефтеров, , , , 
Соня Костадинова Капсъзова, , , , , , Нина Красимирова Иванова-Георгиева, , , , Илиана Славова Сребрева, , Стефан Стойчев Ганчев, , , , , , , , Виктория Минчева Минчева, , Димка Колева Нейкова, , , , Зюлер Муталип Емин, , , , 
, , , , , , Радослав Николаев Донев, , , , Галин Господинов Динев, , , , , , , , , , Емил Любославов Трифонов, , Кристина Иринова Денева, , , , Ангел Владов Атанасов, , , , 
