ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Павела Василева Митова, Стефан Радославов Цончев, Вили Младенов Лилков, Светозар Стоянов Съев, Николай Георгиев Дренчев, Димитър Александров Митев, Ивайло Василев Юруков, Мая Божидарова Манолова-Найденова, Андрей Георгиев Андонов, Димитър Цонков Иванов, Цончо Томов Ганев, Кирил Атанасов Веселински, Кирил Петков Петков, Огнян Николаев Симеонов, Красимир Христов Янков, Спас Николов Спасков, Маргарит Владимиров Мицев, Татяна Дончева Тотева, Владимир Димитров Николов, Арман Агоп Бабикян, Георги Валентинов Георгиев, Мариян Иванов Белоев, Христо Танчев Проданов, Георги Панчев Куков, Карлос Арналдо Контрера, Петър Николаев Клисаров, Тимур Ахмедов Халилов, Борислав Димитров Сандов, Георги Иванов Иванов, Ангел Методиев Тасев, Александър Димитров Паунов
Диана Николаева Христова, , Екатерина Георгиева Славова, , Ивана Андреева Влахова, Ивайло Венциславов Нинов, Владимир Милчев Шарков, Карло Андреев Луканов, , , Боян Василев Александров, Станислав Петров Кънчев, Христо Христов Петков, , Станислав Емилов Сираков, , , Димитър Стилиянов Минков, , , Атанас Андонов Бояджиев, Стефан Маринов Парлапански, Елизабет Буен Тодорова, , Тодор Величков Недков, , Аспарух Аспарухов Карастоянов, Жана Иванова Иванова, , Мария Сотирова Пелайо Мендез, Людмил Александров Костадинов
Васил Мирчев Михов, , Венцислав Георгиев Трифонов, , Иван Василев Тодоров, Георги Крумов Стоянов, Стефан Николаев Гургушинов, Антонио Валентинов Николов, , , Иванка Тодорова Луканова, Иван Владимиров Петров, Лена Здравкова Бориславова, , Андрея Любомирова Дацова, , , Красимира Лука Джартазанова-Котение, , , Таня Иванова Сотирова, Добромир Георгиев Славов, Методи Володиев Крумов, , Никол Иванова Стоянова, , Айше Юсеин Крали, Валентин Стефанов Недев, , Александър Симеонов Симеонов, Румен Иванов Ерменков
Людмила Петрова Георгиева, , Александър Иванов Загорски, , Димитър Кирилов Конов, , Светла Цонева Стоянова-Юрукова, Добри Олег Цолов, , , Георги Александров Костадинов, Станил Станиславов Станилов, Теодор Стойчев Михайлов, , Марияна Емилова Маринова-Касабова, , , Марина Сергеевна Драгомирецкая, , , Теодора Маринова Ангелова, Томи Константинов Каракостов, Пламен Веселинов Пувков, , Мирчо Руменов Войчин, , Ахмед Хюсеин Хаккъ, Петко Димитров Цветков, , Цветан Николов Тодоров, Милчо Петков Александров
Боян Дуков Боянов, , Дорота Виталиева Хамбарджиева, , Георги Иванов Денчев, , Александър Христов Драгиев, Стефан Атанасов Куртев, , , Николай Лазаров Бадев, Петър Каменов Бонев, Явор Руменов Божанков, , Лиляна Николова Вардарова, , , Иван Димитров Янев, , , Никола Красимиров Скорчелиев, Владимир Драгомиров Савов, Ирена Момчилова Парунева, , Мария Йорданова Цветкова, , Лютви Хюсни Хаджиалиш, Юлия Иванова Йорданова, , , Христо Йотов Йотов
Владимир Петров Владимиров, , Йордан Владимиров Балканджиев, , Славка Богданова Цакова, , Мая Василева Стоянова, Стефан Красимиров Йоков, , , Стефка Георгиева Захариева, , Мирослав Богданов Дачев, , Симона Мариусова Христова, , , Атанас Петров Янчев, , , Полина Николова Петрова, , Паолина Димитрова Желева, , , , Методи Сашев Кацаров, Стефан Бориславов Радев, , , Любомир Славов Георгиев
Сокол Кънев Киров, , Людмил Николов Стоянов, , Светлана Георгиевна Филипова, , Кирил Георгиев Кошничарски, Силвия Иванова Сиркова, , , Георги Стоянов Стаматов, , Петър Ангелов Грибнев, , Петър Илиев Петров, , , Атанас Димитров Шмидт, , , Борис Христов Борисов, , Бойко Георгиев Митов, , , , Вадим Ангелов Кехайов, Тодора Стоянова Янева, , , Милка Кирилова Петрова
Антония Танева Тонева-Исаева, , Людмила Станойчева Божилова-Николова, , Чавдар Цветанов Погачев, , Борислав Георгиев Стоянов, Лилия Иванова Ванчева, , , Димо Димитров Димитров, , Благовестина Манчева Петрова, , Теодора Недялкова Кръстева, , , Стефка Ганева Въжарова, , , Павлинка Александрова Долашка, , Янита Цолова Димитрова, , , , Мюжгян Феимова Камберова, Стоян Димитров Йотов, , , Анка Пенева Ганчева
Станимир Динев Господинов, , Весела Миткова Катрова, , Асен Георгиев Никодимов, , Ели Христова Илиева, Асен Стоянов Попов, , , Мирослав Цветанов Христов, , Стоил Владимиров Моллов, , Андрей Маринов Маринов, , , Бойчо Тодоров Мошев, , , Стефан Костов Маджаров, , Владимир Божидаров Маринов, , , , Димитър Георгиев Бетов, Боряна Димитрова Хрисимова, , , Богомил Върбанов Върбанов
, , Йорданка Димитрова Панайотова, , Галина Николаевна Катеринова, , Стефан Стоянов Георгиев, Антон Димитров Димов, , , , , Иво Георгиев Михайлов, , Ангел Ангелов Касабов, , , Емил Николов Тарасов, , , Анна Първанова Манчева-Димова, , Йордан Георгиев Политов, , , , Иван Георгиев Кинов, Андрей Николаев Ковачев, , , Росен Фидосиев Риджолски
, , Светослав Михайлов Живков, , Тинка Йорданова Сиракова, , Силвия Георгиева Георгиева, Петя Тодорова Тоткова, , , , , Виталий Викторович Анточ, , Владислав Александров Апостолов, , , Миглена Тодорова Ганева, , , Живко Динев Дервенов, , Никола Николов Димитров, , , , Любомир Йорданов Христов, Петър Димитров Нончев, , , Пламен Йорданов Пеев
, , Мима Цанкова Пандова, , Александра Лука Петкова, , Анжела Илиева Ванкова, Красимир Костов Костов, , , , , Джани Хариева Антова, , , , , Христо Любенов Русинов, , , Румяна Стефанова Георгиева, , Весела Константинова Кирова, , , , Недялко Бончев Русков, Ивайло Георгиев Стоименов, , , Веско Иванов Паунов
, , Магдалена Христова Иванова, , Али Фадаей Мофкхан, , Тихомир Максимов Липчев, Христо Димитров Киров, , , , , Мартин Бойков Темелков, , , , , Марияна Георгиева Георгиева, , , Мирослав Георгиев Спасов, , Славина Николаева Николова, , , , Петър Владимиров Шиников, , , , 
, , Белин Марков Белев, , Ганчо Иванов Попов, , Ива Николаева Добренова, Лора Светославова Светославова, , , , , Стоил Христов Далевски, , , , , Надежда Василевна Петкова, , , Волен Йорданов Борисов, , Георги Ганчев Георгиев, , , , Стефан Веселинов Юруков, , , , 
, , Снежинка Иванова Костова, , , , Гергана Василева Кьосева, Яна Ивайлова Георгиева, , , , , Милена Тонева Райкова, , , , , Иван Велинов Ганев, , , Димитър Стефанов Хаджикотев, , Надежда Александровна Караджинова, , , , Тодор Георгиев Станев, , , , 
, , Стамат Стоянов Узунов, , , , Аделина Славчева Деянска, Мартин Владимиров Георгиев, , , , , Албена Димитрова Линкова, , , , , Петър Петров Павлов, , , Слав Василев Петков, , Десислава Стойчева Тренева-Георгиева, , , , , , , , 
, , Мартин Руменов Павлов, , , , Камен Божков Радованов, Виктория Огнянова Мучанова, , , , , Светлан Симеонов Георгиев, , , , , Мариян Димитров Минчев, , , Надежда Дмитриевна Атанасова, , , , , , , , , , 
, , Валя Димитрова Станимирова, , , , Надя Димитрова Иванова, Кристиян Живков Киров, , , , , Виктор Николаев Николов, , , , , Васко Петров Иванов, , , Виктор Валериев Костов, , , , , , , , , , 
, , Диана Костова Костова, , , , Яна Петрова Христова, Димитър Симеонов Костадинов, , , , , Йона Йорданова Генчева, , , , , Димитър Иванов Злидолски, , , Николай Георгиев Амзин, , , , , , , , , , 
, , Иван Пламенов Панов, , , , Радослава Радославова Радкова, Силвия Мариянова Димитрова, , , , , Емил Иванов Соколов, , , , , Виолета Иванова Блажева, , , Ирина Славчева Вълчовска-Петкова, , , , , , , , , , 
, , Марио Стефанов Сарафов, , , , Метин Яшар Али, Александра Христова Мукарева, , , , , Антон Йорданов Тонев, , , , , Стефка Томова Томова, , , Станислава Йорданова Иванова, , , , , , , , , , 
, , Виктория Цветанова Иванова, , , , Михал Петров Павлов, Лиана Красимирова Николова, , , , , Ивайло Николаев Мирчев, , , , , Иван Николаев Събев, , , Димитър Атанасов Германов, , , , , , , , , , 
, , Радостина Иванова Минина, , , , Васил Николаев Григоров, Илияна Янчева Илиева, , , , , , , , , , Добринка Иванова Манева, , , Диана Методиева Цекова, , , , , , , , , , 
, , Мария Иванова Попсавова, , , , , Юлиан Стойков Малинов, , , , , , , , , , Лидия Стойкова Стойкова-Чорбанова, , , Пламен Пламенов Петров, , , , , , , , , , 
, , Елена Савова Попсавова, , , , , Анна Петрова илиева, , , , , , , , , , Валери Мирчев Жаблянов, , , Георги Петров Иванов, , , , , , , , , , 
, , Любомир Младенов Канов, , , , , Мария Иванова Гочева, , , , , , , , , , , , , Момчил Валентинов Драганов, , , , , , , , , , 
, , , , , , , Али Байрямов Буковски, , , , , , , , , , , , , Виктория Викторова Карабашева, , , , , , , , , , 
, , , , , , , Георги Стоянов Кадиев, , , , , , , , , , , , , Никола Стоянов Статев, , , , , , , , , , 
