ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Ивайло Ванев Вълчев, Михаил Боянов Генадиев, Петър Стефанов Москов, Христо Георгиев Лафчиев, Юлиан Методиев Андреев, Никола Костадинов Вучев, Дарин Димов Дросев, Александър Михайлов Сивилов, Иван Косев Манев, Димитър Стефанов Бунов, Петър Николаев Петров, Никола Николов Найденов, Христо Любомиров Иванов, Станислав Цветков Тодоров, Стефан Динчев Янев, Никола Йорданов Илиев, Диан Петров Караиванов, Пламена Пламенова Заячка, Валентин Симеонов Симов, Мария Василева Капон, Рая Назар Назарян, Елена Кирилова Ваташка, Георги Страхилов Свиленски, Етиен Херцел Леви, Карлос Арналдо Контрера, Красимир Манолов Стоянов, Едиз-Ханиф Баязидов Саидов, Тома Георгиев Белев, Светозар Венков Стефанов, Георги Стефанов Неделчев, Румен Николов Георгиев
Петър Бонев Костадинов, , Радослав Ефтимов Христов, , Мартина Мартинова Пеева, Върба Трифонова Стоянова, Николай Георгиев Чолаков, Асен Стоянов Попов, , , Валентина Йорданова Данева, , Венелин Петров Радев, , Велислав Василев Станоев, , , Ангел Ангелов Коджаманов, , , Зоран Александров Рангелов, Ермина Боянова Боянова, Мариана Неделчова Божкова, , Владимир Владимиров Христов, , Щерьо Щерев Щерев, Симеон Арангелов Арангелов, , , Максим Александров Тополов
Младен Кирилов Младенов, , Ангел Атанасов Георгиев, , Иван Василев Тодоров, , Лилия Любомирова Францова-Богданова, Димитър Чавдаров Панайотов, , , Васил Цолов Котарански, , Таня Койчева Андреева, , Тодор Иванов Тодоров, , , Станимир Георгиев Маринов, , , Антон Господинов Койчев, , Владимир Кирилов Манов, , Марияна Цветкова Киричкова, , Кръстин Стефанов Запрянов, Стоян Димитров Йотов, , , Любомир Петров Любомиров
Здравко Ангелов Михайлов, , Анелия Петрова Партинова, , Асен Георгиев Никодимов, , Емил Слободанов Павлович, Росица Пенчева Йорданова, , , , , Емилия Кунчева Тончева, , Дилян Хуан-Мигел Санчес, , , Ива Ценова Галева, , , Борис Петров Петров, , Симеон Петров Симеонов, , Михаил Благовестов Оцетов, , Тома Петров Гарчов, Иван Петров Андонов, , , Виктория Добромирова Добрева
, , Ангел Христов Илиев, , Павел Христов Денков, , Ина Раденкова Лазова, Антон Антонов Кръстев, , , , , Мирослав Йорданов Мавров, , , , , Николай Георгиев Спасов, , , Анжела Иванова Димчева, , Анатолий Христов Станкулов, , Кристиян Костев Филипов, , Валентин Иванов Мечев, Петко Димитров Цветков, , , Любомир Славов Георгиев
, , Кристина Йорданова Сунгарска, , Николай Константинов Попов, , Оксана Иванова Желяпова, Кирил Венциславов Атанасов, , , , , Светлана Димова Петрова, , , , , Димитър Стилиянов Минков, , , Петър Константинов Митев, , Венелин Георгиев Михайлов, , Владимир Веселинов Митов, , Александър Сашов Сайков, Юлия Иванова Йорданова, , , Донка Йотова Братанова
, , Пеню Витанов Пенев, , Веселин Петков Петков, , Румен Тодоров Тодоров, Антонио Валентинов Николов, , , , , Дончо Иванов Чернев, , , , , Ерика Симеонова Симеонова, , , Мартин Албенов Атанасов, , Лиляна Йорданова Йорданова, , , , , Кристина Боянова Димитрова, , , Ана Райчева Димчева
, , Веселин Петров Жеков, , Любомир Евгениев Александров, , Тихомир Максимов Липчев, Светлозара Каменова Богдева, , , , , Иван Десимиров Кулин, , , , , Николай Венков Наков, , , Десислава Наскова Митова, , Марен Игнатов Москов, , , , , Петър Димитров Нончев, , , Тодор Атанасов Кънев
, , Стоян Петров Цветанов, , Чавдар Цветанов Погачев, , Венцислав Божилов Кърпачев, Лора Светославова Светославова, , , , , Иван Романов Цветков, , , , , Иван Тодоров Крумов, , , Георги Стоянов Владов, , Красимир Борисов Криводолски, , , , , , , , Людмил Александров Костадинов
, , Йорданка Димитрова Панайотова, , Павлина Найденова Илиева, , Стефан Иванов Иванов, Веселин Иванов Дяков, , , , , Ивета Кирилова Доганова, , , , , Владислав Емилов Антонов, , , Николай Герчев Герчев, , Валери Богданов Бонев, , , , , , , , Владимир Николов Жиянски
, , Николай Стайков Хаджийски, , Тинка Йорданова Сиракова, , Мартин Симеонов Тодоров, Лиана Красимирова Николова, , , , , Жеко Георгиев Георгиев, , , , , Ева Василева Мелкова-Манолева, , , Себастиан Жан Таджер, , Христо Димитров Марашлиев, , , , , , , , Румяна Георгиева Райнова
, , Димитър Спириев Симеонов, , Александра Лука Петкова, , Нели Борисова Георгиева, Яна Георгиева Рангелова, , , , , Емил Иванов Едисонов, , , , , Михаил Тодоров Михайлов, , , Елизабет Стефанова Петрова, , , , , , , , , , Йото Борисов Йотов
, , Петко Илиев Събев, , Станислава Радославова Пенева, , Джулия Иванова Младенова, Красимир Костов Костов, , , , , Кирил Методиев Радев, , , , , Владимир Карамфилов Асенов, , , Радостина Валериева Белчева, , , , , , , , , , Веселин Митков Иванов
, , Ивета Филипова Борисова, , Светлана Георгиевна Филипова, , Звезделина Илиянова Петрова, Борислав Христимчов Борисов, , , , , Тодор Николов Николов, , , , , Стилян Стоянов Ранджев, , , Анжела Миткова Христова, , , , , , , , , , Веселин Димитров Панов
, , Борис Вилхелм Точев, , , , Росен Христов Петков, Юлиан Стойков Малинов, , , , , Поля Стефанова Стоянова, , , , , Анелия Владинкова Спасова, , , Веселин Маринов Енчевски, , , , , , , , , , Валери Николов Маршалов
, , Захари Петров Петров, , , , , Светослав Кирилов Велков, , , , , Жени Любомирова Шиер, , , , , Мартин Мирчев Колешев, , , Даниел Пламенов Пелов, , , , , , , , , , 
