ПП ИМА ТАКЪВ НАРОД,ПП ГЛАС НАРОДЕН,СИНЯ БЪЛГАРИЯ,НИЕ ГРАЖДАНИТЕ /БЪЛГАРСКАТА ПРОЛЕТ. КОЙ. БРСП. НАЦИЯ/,ПОЛИТИЧЕСКА ПАРТИЯ БЪЛГАРСКИ ГЛАСЪ,КОАЛИЦИЯ НА РОЗАТА,ЦЕНТЪР,СОЛИДАРНА БЪЛГАРИЯ,ЕДИНЕНИЕ,БНО,ВЪЗРАЖДАНЕ,ПП МЕЧ,КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ,ПП НАРОДНА ПАРТИЯ ИСТИНАТА И САМО ИСТИНАТА,БЪЛГАРСКИ ВЪЗХОД,КП ГРАЖДАНСКИ БЛОК (ГБ),ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ЛЕВИЦАТА!,Партия на ЗЕЛЕНИТЕ,НИЕ ИДВАМЕ,ГЕРБ-СДС,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ – НД,БСП за БЪЛГАРИЯ,ПП ВЕЛИЧИЕ,ПП ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ПРЯКА ДЕМОКРАЦИЯ,Движение за права и свободи – ДПС,ЗЕЛЕНО ДВИЖЕНИЕ,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД – БЪЛГАРСКИ СЪЮЗ ЗА ДИРЕКТНА ДЕМОКРАЦИЯ,КОАЛИЦИЯ НЕУТРАЛНА БЪЛГАРИЯ (РУСОФИЛИ И КОМУНИСТИ),
Станислав Тодоров Трифонов, Светослав Емилов Витков, Никола Симеонов Янков, Нако Райнов Стефанов, Румен Ангелов Христов, Александър Трифонов Томов, Васил Крумов Божков, Ваня Руменова Григорова, Иван Маркос Христанов, Георги Венелинов Георгиев, Костадин Тодоров Костадинов, Радостин Петев Василев, Христо Христов Петров, Венцислав Атанасов Ангелов, Деница Христова Янакиева, Иван Стоименов Гешев, Радослав Иванов Илиев, Михаил Райков Миков, Христо Христов Дунчев, Николай Димитров Хаджигенов, Бойко Методиев Борисов, Боян Боянов Станков Расате, Корнелия Петрова Нинова, Николай Георгиев Марков, Ангел Чавдаров Джамбазки, Калин Николов Павлов, Станислав Димитров Анастасов, Георги Сашков Стефанов, Пиер Стоянов Божилов, Николай Миланов Николов, Николай Симеонов Малинов
Гергана Пламенова Благоева, , Петко Илиев Събев, , Набил Али Ел Асмар, Весела Ангелова Стефанова, Виктор Георгиев Даков, Яна Ивайлова Георгиева, , , Христо Веселинов Гадев, , Димитър Николов Кочмаров, , Антон Богданов Петров, Венцислав Кирилов Карагьозов, , Гавраил Дончев Хрусанов, , , Борислав Георгиев Тодоров, Жана Владимирова Славова, Петър Георгиев Петров, , Ивалина Веселинова Денева, , Шабан Мехмедов Моллов, Филип Руменов Кирилов, Камен Пламенов Бенински, , Богомил Върбанов Върбанов
Валя Стефанова Трифонова, , Ангел Атанасов Георгиев, , Ален Иванов Якимов, Ивайло Венциславов Нинов, Спас Стоянов Абрашев, Анна Петрова Илиева, , , Деница Тодорова Тодорова, , Мирослав Йорданов Мавров, , Велислав Василев Станоев, Виктор Кирилов Рачев, , Николета Калчева Лингорова-Христова, , , Силвия Славчева Иванова, Михаил Стефанов Паликов, Славяна Ясенова Висулчева, , Петя Никифорова Тодорова, , Михаел Димитров Лещански, Райна Дацева Николова-Стоименова, , , Светлана Георгиева Димитрова
Диана Николаева Христова, , Александър Иванов Загорски, , Антоан Стоянов Кръстев, Данаил Веселинов Дамянов, Роман Кирилов Банев, Стефан Красимиров Йоков, , , Димо Сергеев Димитров, , Мартин Бойков Темелков, , , , , Мариян Димитров Минчев, , , Златко Иванов Златков, Ивайло Огнянов Лазаров, Орфей Николаев Петков, , Моника Георгиева Василева, , Димитър Иванов Митрев, , , , Правда Димова Цанкова-Кънева
, , Нора Страхилова Гудев, , Веселин Александров Василев, , Румен Тодоров Тодоров, Христо Христов Бозуков, , , , , Мирослав Николаев Иванов, , , , , Николай Наков Наков, , , Пламен Николаев Николов, , Даниел Милков Минчев, , Диана Михайлова Стоянчова, , Росен Димитров Димитров, , , , Анка Пенева Ганчева
, , Красимира Димитрова Караджова, , Даниел Йорданов Йорданов, , Калин Росенов Моравски, Мартин Владимиров Георгиев, , , , , Елена Карамфилова Захариева, , , , , Георги Светломиров Петров, , , Ивайло Петков Колегов, , Стефан Венцеславов Върбанов, , Богомил Емилов Бранков, , Касъм Мехти Касъмов, , , , Мария Методиева Александрова
, , Пеню Витанов Пенев, , Димитър Николов Димитров, , Константин Константинов Бонев, Мария Иванова Гочева, , , , , Юлия Борисова Иванова-Никова, , , , , Васко Петров Иванов, , , Каролина Цончева Цонева, , Алекс Цеков Гигов, , , , Йордан Александров Димитров, , , , Веселин Стоянов Веселинов
, , Веселин Петров Жеков, , Димитър Валентинов Борисов, , Слави Цветанов Димитров, Виктория Огнянова Мучанова, , , , , Красимир Георгиев Георгиев, , , , , Катя Сашкова Петкова-Аламир, , , Борислав Кирилов Куртев, , Виктор Людмилов Кирилов, , , , , , , , Румяна Георгиева Райнова
, , Весела Миткова Катрова, , Александър Венцеславов Андонов, , Константин Георгиев Пъшев, Илияна Янчева Илиева, , , , , Александра Красимирова Стеркова, , , , , Владимир Иванов Петров, , , Христо Валентинов Василев, , Александър Тихомиров Симов, , , , , , , , Ивелина Валентинова Ахмед
, , Георги Ленков Балчев, , Митко Петров Кръстев, , Венцислав Божилов Кърпачев, Ралица Вилиянова Игнатова, , , , , Джани Хариева Антова, , , , , Марияна Георгиева Георгиева, , , Борислава Венциславова Виденова, , Петя Колева Петрова, , , , , , , , Безат Безат Ахмед
, , Иван Пламенов Панов, , Галина Николаевна Катеринова, , Мартин Симеонов Тодоров, Веселин Дойчинов Петров, , , , , Радостина Ангелова Ангелова, , , , , Емил Николов Тарасов, , , Радослав Георгиев Наков, , Росен Неделчев Атанасов, , , , , , , , Веселин Димитров Панов
, , Мима Цанкова Пандова, , Али Фадаей Мофкхан, , Росен Христов Петков, Яна Георгиева Рангелова, , , , , Антонина Владимировна Грекова, , , , , Надежда Василевна Петкова, , , Полина Венциславова Исаева, , Василена Красимирова Пиринска, , , , , , , , Ваня Атанасова Георгиева
, , Верислава Богданова Пандолфини, , Недялка Константинова Папазян, , Стефан Иванов Иванов, Борислав Владимиров Борисов, , , , , Георги Евтимов Атанасов, , , , , Емилия Йорданова Цекина, , , Елина Иванова Давидова, , Красен Лъчезаров Раковски, , , , , , , , Пламен Стефанов Петров
, , Белин Марков Белев, , , , Нели Борисова Георгиева, Лилия Иванова Ванчева, , , , , Румен Валентинов Стоименов, , , , , Михаил Цветанов Михайлов, , , Силвия Юлиянова Селимова, , Петранка Георгиева Тодорова, , , , , , , , Илия Георгиев Георгиев
, , Борис Вилхелм Точев, , , , Джулия Иванова Младенова, Димитър Александров Димитров, , , , , Анко Александров Петков, , , , , Николай Петков Николов, , , Кристиян Красимиров Христов, , , , , , , , , , Стефан Ненов Панчев
, , Галина Стефанова Георгиева, , , , Илия Асенов Георгиев, Димитър Чавдаров Панайотов, , , , , Константин Харалампиев Кафеджийски, , , , , Димитър Чавдаров Велков, , , Искра Пламенова Стоянова, , , , , , , , , , Румен Стоянов Йорданов
, , Мартин Руменов Павлов, , , , Звезделина Илиянова Петрова, Виктор Владимиров Йочев, , , , , , , , , , , , , Венцислав Венциславов Зашев, , , , , , , , , , 
, , Валя Димитрова Станимирова, , , , Ивайло Пламенов Кирилов, Калин Орлинов Първанов, , , , , , , , , , , , , Любен Любенов Дилов, , , , , , , , , , 
